imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt27775137,The Glory of Life,The last year in Franz Kafka's life and its surprising love story.,2024,20241h 38m,6.5,586,,last year franz kafka life surprising love story
tt23640170,Meet the Barbarians,"Brittany's Town has unanimously decided to accept Ukrainian refugees in exchange for government subsidies. However, instead of seeing Ukrainians arrive, they now see Syrian migrants, which has caused some conflicts.",2024,20241h 41m,6.4,1K,,brittany town unanimously decided accept ukrainian refugees exchange government subsidies however instead seeing ukrainians arrive see syrian migrants caused conflicts
tt11917642,Fresh,"The clock is ticking for Kai. His psychotic brother has just been granted an early release from prison and by this afternoon, he'll come around to collect the money Kai has been holding for him. The problem - all the money's been spent.",2024,20241h 38m,6.4,133,,clock ticking kai psychotic brother granted early release prison afternoon come around collect money kai holding problem money spent
tt32654179,Gelin Takimi,"A group of female friends take a holiday bachelorette trip, where they let their hair down, flirting with strangers, and indulge in a party lifestyle.",2024,20241h 49m,4.1,7.1K,,group female friends take holiday bachelorette trip let hair flirting strangers indulge party lifestyle
tt27179628,Solvent,"While hunting Nazi papers in Austria, researchers find a dark secret beneath a farmhouse. As expat Gunner Holbrook pursues the mystery, his grip on reality slips. He battles an evil force, racing to save himself.",2024,20241h 34m,4.8,3.5K,,hunting nazi papers austria researchers find dark secret beneath farmhouse expat gunner holbrook pursues mystery grip reality slips battles evil force racing save
tt7972570,Mr. K,"After spending the night in a remote hotel, Mr. K is stuck in a claustrophobic nightmare when he discovers that he can't leave the building.",2024,20241h 34m,5.4,2.6K,,spending night remote hotel stuck claustrophobic nightmare discovers leave building
tt32868318,Grand Maison Paris,"Famous Japanese chef Obana opens a restaurant in Paris, seeking third Michelin star. Faces challenges as outsider, sourcing ingredients. Tensions rise with staff over ambitious menu.",2024,20241h 51m,6.2,460,,famous japanese chef obana opens restaurant paris seeking third michelin star faces challenges outsider sourcing ingredients tensions rise staff ambitious menu
tt31970755,"Apollon by Day, Athena by Night","Defne travels to the ancient Mediterranean city of Side and encounters a revolutionary, a prostitute, a priestess, and other mysterious people. Guided by them, she searches for the mother who has abandoned her.",2024,20241h 52m,6.7,884,,defne travels ancient mediterranean city side encounters revolutionary prostitute priestess mysterious people guided searches mother abandoned
tt7758540,Among Neighbors,"In a small Polish town where a dark history has been silenced, an eyewitness to murder speaks out in search of the Jewish boy she loved.",2024,20241h 40m,8.2,529,,small polish town dark history silenced eyewitness murder speaks search jewish boy loved
tt32919749,The Night Before Christmas in Wonderland,"The Queen of Hearts has outlawed Christmas. As a child, the white rabbit missed her gift. Years later, Father Christmas receives the lost letter and voyages to Wonderland. With the help of curious young Alice, can Christmas be saved?",2024,20241h 20m,6.3,704,,queen hearts outlawed christmas child white rabbit missed gift years later father christmas receives lost letter voyages wonderland help curious young alice christmas saved
tt31189901,The Truth vs. Alex Jones,"Centers on families of the victims of the 2012 Sandy Hook shooting. They take Alex Jones, a conspiracy theorist, to court for spreading lies about the event being a hoax.",2024,20242h 1m,7.4,3.4K,,centers families victims sandy hook shooting take alex jones conspiracy theorist court spreading lies event hoax
tt35018659,The Unrighteous,"An overworked man's petty revenge against his annoying neighbor unleashes her hidden madness, turning his entire building into a trap for his family.",2024,20241h 27m,5.1,86,,overworked man petty revenge annoying neighbor unleashes hidden madness turning entire building trap family
tt32142963,Pabar,"Benudhar Kandi, hailing from a little village of Gumagarh in Odisha, does not have big expectations until circumstances force him into local politics.",2024,20242h 39m,8.1,332,,benudhar kandi hailing little village gumagarh odisha big expectations circumstances force local politics
